"Full Name of the Session Holder of the Session","Day of Week","Session's Session Start","Session's Session End","Appointment Date","Appointment Time","Slot Type","Slot Duration","Availability","DNA","Booked Time to Slot Time","Arrive Time to Send In Time","Slot Time to Send In Time","Slot Time to Arrive Time","Consultation Time","",
"","","","","","09:00","PCN Paramedic Housebound","45","Booked","Attended","2496","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","Home Visit","45","Booked","Attended","81","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","PCN Paramedic Housebound","23","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:53","PCN Paramedic F2F","22","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","Comment","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Learning Disability health check","30","Booked","Did Not Attend","9856","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","Learning Disability health check","30","Booked","Attended","2962","7","-2","-9","8","1",
"","","","","","12:15","Learning Disability health check","30","Booked","Attended","3146","5","-81","-86","38","1",
"","","24-Sep-2025","24-Sep-2025","24-Sep-2025","08:30","PCN Admin","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","PCN Paramedic Housebound","45","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","PCN Paramedic Housebound","45","Booked","Attended","2615","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","PCN Paramedic Housebound","45","Booked","Attended","2652","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","Home Visit","45","Booked","Attended","-14","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","Home Visit","45","Booked","Attended","30","Unknown","Unknown","Unknown","Unknown","1",
"","","08-Oct-2025","08-Oct-2025","08-Oct-2025","08:30","PCN Care Home ward round","255","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","9",
"","","","","","","","","Booked","Attended","-112","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-95","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-94","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-85","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-83","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-25","Unknown","Unknown","Unknown","Unknown","1",
"","Thu","","","","","","","","","","","","","","0",
"","Fri","","","","","","","","","","","","","","0",
"","Sat","","","","","","","","","","","","","","0",
"","Sun","","","","","","","","","","","","","","0",
"GIBBONS, Rebecca (Mrs)","Mon","","","","","","","","","","","","","","0",
"","Tue","","","","","","","","","","","","","","0",
"","Wed","10-Sep-2025","10-Sep-2025","10-Sep-2025","13:00","Comment","210","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","PCN Care Home ward round","210","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","13",
"","","","","","","","","Booked","Attended","-97","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-90","Unknown","Unknown","Unknown","Unknown","1",
"","","17-Sep-2025","17-Sep-2025","17-Sep-2025","08:30","PCN Care Home ward round","240","Booked","Attended","-174","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-153","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-146","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-141","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-134","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-132","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-126","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-122","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-119","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","","","","","","-117","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-116","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","","","","","","-115","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-111","Unknown","Unknown","Unknown","Unknown","1",
"","","24-Sep-2025","24-Sep-2025","24-Sep-2025","08:30","Comment","240","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","PCN Care Home ward round","240","Booked","Attended","-167","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-161","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-158","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-122","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-93","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-84","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-82","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-75","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-71","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-70","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-54","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-51","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-47","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-44","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","6898","Unknown","Unknown","Unknown","Unknown","1",
"","","01-Oct-2025","01-Oct-2025","01-Oct-2025","08:30","PCN Care Home ward round","255","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","9",
"","","","","","","","","Booked","Attended","-178","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-158","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-135","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-122","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-74","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-17","Unknown","Unknown","Unknown","Unknown","1",
"","","08-Oct-2025","08-Oct-2025","08-Oct-2025","08:30","PCN Admin","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:20","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:40","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:20","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:40","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:00","PCN Paramedic Housebound Vaccs","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:20","PCN Paramedic Housebound Vaccs","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:40","PCN Paramedic Housebound Vaccs","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","PCN Paramedic Housebound Vaccs","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:20","PCN Paramedic Housebound Vaccs","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:40","PCN Admin","5","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","15-Oct-2025","15-Oct-2025","15-Oct-2025","08:30","PCN Care Home ward round","255","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","15",
"","","22-Oct-2025","22-Oct-2025","22-Oct-2025","08:30","PCN Care Home ward round","255","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","15",
"","","29-Oct-2025","29-Oct-2025","29-Oct-2025","08:30","PCN Care Home ward round","255","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","15",
"","Thu","11-Sep-2025","11-Sep-2025","11-Sep-2025","08:30","Comment","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","PCN Admin","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","PCN Care Home ward round","45","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","PCN Care Home ward round","45","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","PCN Care Home ward round","45","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","PCN Care Home ward round","45","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","PCN Paramedic Housebound","45","Booked","Attended","10063","Unknown","Unknown","Unknown","Unknown","1",
"","","06-Nov-2025","06-Nov-2025","06-Nov-2025","08:30","PCN Admin","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","PCN Supervision","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","PCN Paramedic Housebound","45","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:45","PCN Paramedic Housebound","45","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","PCN Paramedic Housebound","45","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","PCN Paramedic Housebound","45","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","Fri","","","","","","","","","","","","","","0",
"","Sat","","","","","","","","","","","","","","0",
"","Sun","","","","","","","","","","","","","","0",
"GRIFFITHS, Diana (Mrs)","Mon","08-Sep-2025","08-Sep-2025","08-Sep-2025","08:30","B12","15","Booked","Attended","24134","7","-1","-8","13","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","18554","2","7","4","37","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","18600","1","4","3","36","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","60","Booked","Attended","24517","15","5","-10","60","1",
"","","","","","11:30","Prebookable","30","Booked","Attended","23","0","12","12","15","1",
"","","","","","12:00","Smear","15","Booked","Attended","17408","8","-1","-10","15","1",
"","","","","","12:15","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:15","Prebookable","15","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:30","Prebookable","30","Booked","Attended","18829","0","8","3","10","1",
"","","","","","","","","","","","","","8","10","1",
"","","","","","14:00","Diabetes review","30","Booked","Attended","24734","17","0","-18","27","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Asthma Reviews due","30","Booked","Attended","24791","8","8","0","27","1",
"","","","","","15:15","Smear","15","Booked","Attended","443","14","6","-7","8","1",
"","","","","","15:30","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","15-Sep-2025","15-Sep-2025","15-Sep-2025","08:30","Comment","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Vaccine Clinic","15","Booked","Did Not Attend","8287","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","19749","11","5","-6","29","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","25670","5","7","1","32","1",
"","","","","","","Comment","45","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","25837","33","8","-25","37","1",
"","","","","","11:15","SAMPLE TESTING","30","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","Asthma Reviews due","30","Booked","Attended","20098","10","-2","-13","29","1",
"","","","","","12:15","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","ANNUAL REVIEW MULTIPLE","60","Booked","Did Not Attend","25977","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","25954","11","0","-11","33","1",
"","","","","","14:45","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Prebookable","15","Booked","Did Not Attend","20040","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Book on the Day","30","Booked","Attended","24704","3","-3","-7","20","1",
"","","","","","15:45","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","22-Sep-2025","22-Sep-2025","22-Sep-2025","08:30","Prebookable","15","Booked","Did Not Attend","17106","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","Asthma Reviews due","23","Booked","Attended","24092","2","-5","-7","12","1",
"","","","","","09:08","Diabetes review","22","Booked","Did Not Attend","14452","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Booked","Did Not Attend","29789","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Comment","45","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","8783","20","3","-17","34","1",
"","","","","","11:15","Blood Clinic","15","Booked","Attended","28605","0","-2","-3","10","1",
"","","","","","11:30","Prebookable","15","Booked","Did Not Attend","29904","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","Smear","15","Booked","Attended","20393","6","4","-1","14","1",
"","","","","","12:00","Comment","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Smear","15","Booked","Did Not Attend","20409","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","COPD review","30","Booked","Attended","27142","7","5","-2","19","1",
"","","","","","13:30","ANNUAL REVIEW MULTIPLE","60","Booked","Attended","36093","8","2","-6","35","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Prebookable","30","Booked","Attended","28712","4","5","0","27","1",
"","","","","","15:15","Smear","15","Booked","Attended","34663","7","3","-3","18","1",
"","","","","","15:30","Vaccine Clinic","15","Booked","Attended","8577","15","7","-8","9","1",
"","","","","","15:45","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:00","Default","15","Booked","Attended","40","26","-13","-39","10","1",
"","","29-Sep-2025","29-Sep-2025","29-Sep-2025","08:30","B12","15","Booked","Attended","19716","15","2","-12","4","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","20159","9","7","-1","42","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","20033","11","4","-6","24","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","39909","13","5","-8","32","1",
"","","","","","11:15","Prebookable","15","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","Prebookable","15","Booked","Attended","196","7","1","-6","12","1",
"","","","","","11:45","Smear","15","Booked","Attended","34664","3","2","0","13","1",
"","","","","","12:00","Smear","15","Booked","Did Not Attend","44449","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","Comment","45","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Prebookable","45","Booked","Attended","7367","5","-6","-12","16","1",
"","","","","","13:00","ANNUAL REVIEW MULTIPLE","30","Booked","Attended","18541","33","7","-26","31","1",
"","","","","","13:30","Smear","30","Booked","Attended","24651","12","11","-1","14","1",
"","","","","","14:00","Prebookable","30","Booked","Attended","24310","9","-3","-13","16","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Prebookable","15","Booked","Attended","18672","5","-4","-9","34","1",
"","","","","","15:00","Smear","15","Booked","Did Not Attend","29026","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Smear","15","Booked","Attended","18702","4","13","9","9","1",
"","","","","","15:30","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","06-Oct-2025","06-Oct-2025","06-Oct-2025","08:30","Prebookable","15","Booked","Attended","18317","16","-5","-22","13","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Booked","Did Not Attend","7165","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","Prebookable","23","Booked","Attended","7189","3","8","4","22","1",
"","","","","","09:53","Prebookable","22","Booked","Attended","14","15","16","0","7","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Booked","Attended","17156","1","2","0","19","1",
"","","","","","11:15","Prebookable","30","Booked","Attended","18479","6","1","-4","10","1",
"","","","","","11:45","Smear","15","Booked","Attended","10200","2","3","0","14","2",
"","","","","","12:00","Prebookable","15","Booked","Attended","18505","0","7","7","13","1",
"","","","","","12:15","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Blood Clinic","15","Booked","Attended","15948","2","29","26","8","1",
"","","","","","13:15","Prebookable","15","Booked","Attended","17187","29","10","-18","1","1",
"","","","","","13:30","COPD review","30","Booked","Did Not Attend","15773","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Prebookable","15","Booked","Did Not Attend","14655","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:15","Wound Check","15","Booked","Attended","10236","1","-5","-6","12","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Prebookable","15","Booked","Attended","9973","5","-13","-19","4","1",
"","","","","","15:00","Vaccine Clinic","15","Booked","Attended","4385","2","-10","-12","12","1",
"","","","","","15:15","Smear","15","Booked","Attended","17237","0","-5","-22","13","1",
"","","","","","","","","","","","","","-5","13","1",
"","","","","","15:30","Wound Check","15","Booked","Attended","5","0","-4","-4","17","1",
"","","","","","15:45","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","13-Oct-2025","13-Oct-2025","13-Oct-2025","08:30","B12","15","Booked","2","17251","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Booked","2","19693","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Booked","2","17327","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Booked","2","17354","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","Diabetes review","15","Booked","2","25946","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","Comment","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Prebookable","15","Booked","2","25961","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","Asthma Reviews due","30","Booked","2","17047","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","Admin","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","ANNUAL REVIEW MULTIPLE","45","Booked","2","17455","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:45","Prebookable","15","Booked","2","17369","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Prebookable","15","Booked","2","17445","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:15","Prebookable","15","Booked","2","17038","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Diabetes review","30","Booked","2","17225","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Vaccine Clinic","15","Booked","2","8506","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","Vaccine Clinic","15","Booked","2","8960","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","Admin","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","20-Oct-2025","20-Oct-2025","20-Oct-2025","08:30","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","ANNUAL LEAVE","45","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","ANNUAL LEAVE","45","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL LEAVE","45","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","ANNUAL LEAVE","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:30","ANNUAL LEAVE","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","ANNUAL LEAVE","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","27-Oct-2025","27-Oct-2025","27-Oct-2025","08:30","B12","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","ANNUAL REVIEW MULTIPLE","45","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","ANNUAL REVIEW MULTIPLE","45","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","ANNUAL REVIEW MULTIPLE","45","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:15","Asthma Reviews due","30","Booked","2","30388","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","Blood Clinic","15","Booked","2","30358","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","Smear","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:15","Admin","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:30","Lunch Break","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Smear","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:15","Smear","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:30","ANNUAL REVIEW MULTIPLE","60","Booked","2","27583","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Smear","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Smear","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","Admin","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","Admin","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","Tue","09-Sep-2025","09-Sep-2025","09-Sep-2025","08:30","Comment","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Prebookable","15","Booked","Attended","18345","18","-2","-20","12","1",
"","","","","","08:45","Smear","15","Booked","Attended","20016","13","13","0","15","1",
